id,Class,Family
ENSDARG00000052242,TF,AF-4
ENSDARG00000100915,TF,zf-C2H2
ENSDARG00000039806,TF,T-box
ENSDARG00000099564,TF,bHLH
ENSDARG00000112480,TF,ESR-like
ENSDARG00000034420,TF,Homeobox
ENSDARG00000076442,TF,zf-C2H2
ENSDARG00000077581,TF,MYB
ENSDARG00000088332,TF,Homeobox
ENSDARG00000093403,TF,MYB
ENSDARG00000076251,TF,IRF
ENSDARG00000111026,TF,zf-C2H2
ENSDARG00000116340,TF,zf-C2H2
ENSDARG00000098248,TF,zf-C2H2
ENSDARG00000094059,TF,HMG
ENSDARG00000096186,TF,zf-C2H2
ENSDARG00000067850,TF,TF_bZIP
ENSDARG00000056732,TF,bHLH
ENSDARG00000021891,TF,ZBTB
ENSDARG00000069440,TF,DACH
ENSDARG00000010192,TF,PAX
ENSDARG00000102321,TF,zf-C2H2
ENSDARG00000109684,TF,bHLH
ENSDARG00000111121,TF,CBF
ENSDARG00000034043,TF,Homeobox
ENSDARG00000092507,TF,zf-C2H2
ENSDARG00000043226,TF,CTF/NFI
ENSDARG00000113138,TF,Homeobox
ENSDARG00000039117,TF,TF_bZIP
ENSDARG00000102561,TF,zf-C2H2
ENSDARG00000031894,TF,HMG
ENSDARG00000042045,TF,HMG
ENSDARG00000110907,TF,MYB
ENSDARG00000101131,TF,Homeobox
ENSDARG00000043873,TF,ARID
ENSDARG00000099736,TF,zf-C2H2
ENSDARG00000093165,TF,zf-C2H2
ENSDARG00000074442,TF,Homeobox
ENSDARG00000110318,TF,MBD
ENSDARG00000070721,TF,THR-like
ENSDARG00000075972,TF,CSRNP_N
ENSDARG00000036235,TF,ZBTB
ENSDARG00000111083,TF,Tub
ENSDARG00000100808,TF,zf-C2H2
ENSDARG00000103497,TF,zf-C2H2
ENSDARG00000027199,TF,MH1
ENSDARG00000110061,TF,Homeobox
ENSDARG00000074526,TF,ZBTB
ENSDARG00000098430,TF,zf-C2H2
ENSDARG00000111184,TF,Homeobox
ENSDARG00000031647,TF,STAT
ENSDARG00000023040,TF,ZBTB
ENSDARG00000102600,TF,zf-C2H2
ENSDARG00000031420,TF,zf-C2H2
ENSDARG00000054823,TF,bHLH
ENSDARG00000018109,TF,TF_bZIP
ENSDARG00000056491,TF,zf-C2H2
ENSDARG00000111269,TF,TF_bZIP
ENSDARG00000088039,TF,zf-C2H2
ENSDARG00000094484,TF,zf-C2H2
ENSDARG00000113380,TF,zf-C2H2
ENSDARG00000096689,TF,zf-C2H2
ENSDARG00000014201,TF,Homeobox
ENSDARG00000113850,TF,TF_Otx
ENSDARG00000053569,TF,HMG
ENSDARG00000115998,TF,ZBTB
ENSDARG00000040135,TF,TF_bZIP
ENSDARG00000089598,TF,zf-C2H2
ENSDARG00000017780,TF,THR-like
ENSDARG00000010132,TF,DACH
ENSDARG00000055574,TF,Fork_head
ENSDARG00000097501,TF,zf-C2H2
ENSDARG00000116598,TF,zf-C2H2
ENSDARG00000014463,TF,bHLH
ENSDARG00000078256,TF,zf-C2H2
ENSDARG00000103186,TF,THAP
ENSDARG00000102025,TF,zf-C2H2
ENSDARG00000114369,TF,ZBTB
ENSDARG00000004074,TF,TF_bZIP
ENSDARG00000115152,TF,zf-C2H2
ENSDARG00000035910,TF,zf-C2H2
ENSDARG00000005559,TF,Pou
ENSDARG00000069329,TF,Homeobox
ENSDARG00000102473,TF,zf-C2H2
ENSDARG00000103400,TF,zf-C2H2
ENSDARG00000019516,TF,zf-C2H2
ENSDARG00000098240,TF,Homeobox
ENSDARG00000069252,TF,Homeobox
ENSDARG00000025346,TF,zf-C2H2
ENSDARG00000006038,TF,zf-C2H2
ENSDARG00000037383,TF,PAX
ENSDARG00000094034,TF,zf-C2H2
ENSDARG00000007944,TF,Homeobox
ENSDARG00000093875,TF,zf-C2H2
ENSDARG00000076807,TF,zf-C2H2
ENSDARG00000078434,TF,zf-C2H2
ENSDARG00000110408,TF,Fork_head
ENSDARG00000112646,TF,bHLH
ENSDARG00000052188,TF,zf-C2H2
ENSDARG00000092799,TF,CG-1
ENSDARG00000074321,TF,TEA
ENSDARG00000112589,TF,ETS
ENSDARG00000077120,TF,ARID
ENSDARG00000107408,TF,bHLH
ENSDARG00000005382,TF,zf-C2H2
ENSDARG00000052387,TF,Pou
ENSDARG00000101883,TF,zf-C2H2
ENSDARG00000054307,TF,ARID
ENSDARG00000117076,TF,zf-C2H2
ENSDARG00000039263,TF,ZBTB
ENSDARG00000089814,TF,zf-C2H2
ENSDARG00000039304,TF,Homeobox
ENSDARG00000089262,TF,Homeobox
ENSDARG00000074378,TF,TF_bZIP
ENSDARG00000087188,TF,TF_bZIP
ENSDARG00000086831,TF,zf-C2H2
ENSDARG00000039987,TF,zf-C2H2
ENSDARG00000025131,TF,Homeobox
ENSDARG00000036930,TF,T-box
ENSDARG00000113564,TF,zf-C2H2
ENSDARG00000103871,TF,zf-C2H2
ENSDARG00000071589,TF,zf-C2H2
ENSDARG00000112123,TF,bHLH
ENSDARG00000111765,TF,Homeobox
ENSDARG00000113005,TF,zf-C2H2
ENSDARG00000113780,TF,zf-C2H2
ENSDARG00000100257,TF,zf-C2H2
ENSDARG00000116534,TF,MYB
ENSDARG00000090903,TF,TF_bZIP
ENSDARG00000087646,TF,Runt
ENSDARG00000099986,TF,zf-C2H2
ENSDARG00000097546,TF,THAP
ENSDARG00000009242,TF,ETS
ENSDARG00000063417,TF,ETS
ENSDARG00000076262,TF,Pou
ENSDARG00000087530,TF,zf-C2H2
ENSDARG00000070013,TF,DM
ENSDARG00000010591,TF,Fork_head
ENSDARG00000105784,TF,zf-C2H2
ENSDARG00000004415,TF,HMG
ENSDARG00000040008,TF,bHLH
ENSDARG00000090914,TF,zf-C2H2
ENSDARG00000071398,TF,TF_bZIP
ENSDARG00000114211,TF,zf-C2H2
ENSDARG00000092849,TF,zf-C2H2
ENSDARG00000032578,TF,PAX
ENSDARG00000077799,TF,zf-C2H2
ENSDARG00000104904,TF,zf-C2H2
ENSDARG00000026395,TF,RFX
ENSDARG00000104715,TF,zf-C2H2
ENSDARG00000098923,TF,zf-C2H2
ENSDARG00000059233,TF,Runt
ENSDARG00000116711,TF,zf-C2H2
ENSDARG00000116118,TF,Homeobox
ENSDARG00000091243,TF,zf-C2H2
ENSDARG00000005026,TF,zf-C2H2
ENSDARG00000088036,TF,zf-BED
ENSDARG00000092968,TF,zf-C2H2
ENSDARG00000077205,TF,zf-C2H2
ENSDARG00000078281,TF,zf-C2H2
ENSDARG00000058562,TF,zf-C2H2
ENSDARG00000019013,TF,Homeobox
ENSDARG00000092635,TF,COE
ENSDARG00000075904,TF,RFX
ENSDARG00000042826,TF,zf-C2H2
ENSDARG00000109419,TF,Homeobox
ENSDARG00000044847,TF,zf-C2H2
ENSDARG00000070346,TF,Homeobox
ENSDARG00000079980,TF,zf-LITAF-like
ENSDARG00000097098,TF,zf-C2H2
ENSDARG00000109556,TF,DACH
ENSDARG00000101044,TF,zf-C2H2
ENSDARG00000070339,TF,Homeobox
ENSDARG00000101542,TF,zf-C2H2
ENSDARG00000101245,TF,zf-C2H2
ENSDARG00000045904,TF,RXR-like
ENSDARG00000114492,TF,TF_bZIP
ENSDARG00000078781,TF,HMGA
ENSDARG00000044457,TF,zf-C2H2
ENSDARG00000021443,TF,zf-CCCH
ENSDARG00000089940,TF,zf-C2H2
ENSDARG00000011989,TF,TF_Otx
ENSDARG00000105056,TF,zf-C2H2
ENSDARG00000001621,TF,NF-YA
ENSDARG00000105255,TF,zf-C2H2
ENSDARG00000087070,TF,zf-C2H2
ENSDARG00000054162,TF,RHD
ENSDARG00000036194,TF,Homeobox
ENSDARG00000043531,TF,TF_bZIP
ENSDARG00000004851,TF,zf-C2H2
ENSDARG00000040179,TF,zf-C2H2
ENSDARG00000017174,TF,Homeobox
ENSDARG00000109802,TF,zf-C2H2
ENSDARG00000116560,TF,bHLH
ENSDARG00000114864,TF,THR-like
ENSDARG00000040606,TF,AP-2
ENSDARG00000079947,TF,zf-C2H2
ENSDARG00000107106,TF,zf-C2H2
ENSDARG00000086245,TF,zf-C2H2
ENSDARG00000114358,TF,bHLH
ENSDARG00000078206,TF,SAND
ENSDARG00000099880,TF,zf-C2H2
ENSDARG00000096901,TF,zf-C2H2
ENSDARG00000101645,TF,NDT80/PhoG
ENSDARG00000073814,TF,PAX
ENSDARG00000113285,TF,zf-C2H2
ENSDARG00000053446,TF,PC4
ENSDARG00000104107,TF,Homeobox
ENSDARG00000068761,TF,bHLH
ENSDARG00000101843,TF,zf-C2H2
ENSDARG00000116791,TF,Fork_head
ENSDARG00000037833,TF,bHLH
ENSDARG00000117137,TF,HPD
ENSDARG00000038792,TF,zf-C2H2
ENSDARG00000057323,TF,E2F
ENSDARG00000090116,TF,zf-C2H2
ENSDARG00000095440,TF,zf-C2H2
ENSDARG00000099444,TF,zf-C2H2
ENSDARG00000062002,TF,Homeobox
ENSDARG00000076259,TF,T-box
ENSDARG00000033172,TF,RXR-like
ENSDARG00000103379,TF,PAX
ENSDARG00000079263,TF,zf-C2H2
ENSDARG00000112085,TF,ZBTB
ENSDARG00000094551,TF,zf-C2H2
ENSDARG00000006791,TF,bHLH
ENSDARG00000115964,TF,zf-C2H2
ENSDARG00000115506,TF,zf-C2H2
ENSDARG00000052091,TF,CSL
ENSDARG00000015567,TF,zf-C2H2
ENSDARG00000116536,TF,HMG
ENSDARG00000087381,TF,bHLH
ENSDARG00000041359,TF,zf-BED
ENSDARG00000024306,TF,zf-BED
ENSDARG00000106724,TF,zf-C2H2
ENSDARG00000071725,TF,zf-C2H2
ENSDARG00000096614,TF,zf-C2H2
ENSDARG00000098834,TF,HMG
ENSDARG00000100757,TF,zf-C2H2
ENSDARG00000043210,TF,CTF/NFI
ENSDARG00000045105,TF,Fork_head
ENSDARG00000074906,TF,zf-C2H2
ENSDARG00000074544,TF,zf-C2H2
ENSDARG00000102316,TF,zf-C2H2
ENSDARG00000055349,TF,Homeobox
ENSDARG00000005834,TF,zf-GATA
ENSDARG00000098410,TF,MYB
ENSDARG00000056213,TF,THAP
ENSDARG00000035221,TF,zf-C2H2
ENSDARG00000103439,TF,zf-C2H2
ENSDARG00000037154,TF,zf-C2H2
ENSDARG00000055359,TF,SAND
ENSDARG00000098176,TF,zf-C2H2
ENSDARG00000004714,TF,bHLH
ENSDARG00000042489,TF,THAP
ENSDARG00000014692,TF,zf-C2H2
ENSDARG00000077143,TF,zf-C2H2
ENSDARG00000031243,TF,zf-C2H2
ENSDARG00000052165,TF,Homeobox
ENSDARG00000086944,TF,bHLH
ENSDARG00000079373,TF,TF_bZIP
ENSDARG00000016871,TF,HMG
ENSDARG00000002196,TF,TF_bZIP
ENSDARG00000019457,TF,bHLH
ENSDARG00000053918,TF,SRF
ENSDARG00000067544,TF,bHLH
ENSDARG00000114700,TF,zf-C2H2
ENSDARG00000088927,TF,zf-C2H2
ENSDARG00000053792,TF,zf-C2H2
ENSDARG00000089156,TF,zf-C2H2
ENSDARG00000012642,TF,zf-C2H2
ENSDARG00000103239,TF,zf-C2H2
ENSDARG00000088810,TF,HPD
ENSDARG00000076571,TF,zf-C2H2
ENSDARG00000091756,TF,zf-C2H2
ENSDARG00000004328,TF,CSD
ENSDARG00000100896,TF,zf-C2H2
ENSDARG00000092073,TF,zf-C2H2
ENSDARG00000098892,TF,zf-C2H2
ENSDARG00000021288,TF,MYB
ENSDARG00000057751,TF,ZBTB
ENSDARG00000114783,TF,zf-C2H2
ENSDARG00000079010,TF,zf-C2H2
ENSDARG00000113971,TF,zf-C2H2
ENSDARG00000096172,TF,zf-C2H2
ENSDARG00000095743,TF,HMG
ENSDARG00000100607,TF,ZBTB
ENSDARG00000078701,TF,zf-C2H2
ENSDARG00000002933,TF,Homeobox
ENSDARG00000070546,TF,bHLH
ENSDARG00000078728,TF,zf-C2H2
ENSDARG00000045595,TF,zf-C2H2
ENSDARG00000077542,TF,zf-LITAF-like
ENSDARG00000094965,TF,TF_bZIP
ENSDARG00000102678,TF,zf-C2H2
ENSDARG00000091841,TF,zf-C2H2
ENSDARG00000115214,TF,Homeobox
ENSDARG00000100262,TF,zf-C2H2
ENSDARG00000042652,TF,zf-C2H2
ENSDARG00000104124,TF,zf-C2H2
ENSDARG00000100723,TF,zf-C2H2
ENSDARG00000115364,TF,Homeobox
ENSDARG00000019335,TF,bHLH
ENSDARG00000016788,TF,zf-C2H2
ENSDARG00000042969,TF,zf-C2H2
ENSDARG00000101137,TF,zf-C2H2
ENSDARG00000102679,TF,zf-C2H2
ENSDARG00000096816,TF,zf-BED
ENSDARG00000014479,TF,bHLH
ENSDARG00000042725,TF,TF_bZIP
ENSDARG00000075834,TF,zf-C2H2
ENSDARG00000104822,TF,zf-C2H2
ENSDARG00000092765,TF,zf-C2H2
ENSDARG00000095030,TF,zf-C2H2
ENSDARG00000116064,TF,TF_bZIP
ENSDARG00000077840,TF,Homeobox
ENSDARG00000115775,TF,bHLH
ENSDARG00000077078,TF,zf-C2H2
ENSDARG00000101463,TF,zf-C2H2
ENSDARG00000041080,TF,THAP
ENSDARG00000115755,TF,LRRFIP
ENSDARG00000103689,TF,zf-C2H2
ENSDARG00000101244,TF,zf-C2H2
ENSDARG00000069957,TF,zf-C2H2
ENSDARG00000099555,TF,Fork_head
ENSDARG00000113744,TF,ETS
ENSDARG00000074365,TF,zf-C2H2
ENSDARG00000037872,TF,Fork_head
ENSDARG00000114124,TF,zf-C2H2
ENSDARG00000003803,TF,Homeobox
ENSDARG00000076533,TF,TF_bZIP
ENSDARG00000096030,TF,zf-C2H2
ENSDARG00000109766,TF,Homeobox
ENSDARG00000095283,TF,zf-C2H2
ENSDARG00000098510,TF,zf-C2H2
ENSDARG00000109339,TF,zf-C2H2
ENSDARG00000096708,TF,zf-C2H2
ENSDARG00000101829,TF,zf-C2H2
ENSDARG00000112649,TF,zf-C2H2
ENSDARG00000092471,TF,zf-C2H2
ENSDARG00000092241,TF,zf-C2H2
ENSDARG00000105067,TF,zf-C2H2
ENSDARG00000114636,TF,Homeobox
ENSDARG00000040266,TF,HMG
ENSDARG00000086173,TF,RHD
ENSDARG00000040080,TF,ETS
ENSDARG00000095651,TF,Homeobox
ENSDARG00000077897,TF,zf-C2H2
ENSDARG00000051729,TF,RHD
ENSDARG00000101562,TF,zf-C2H2
ENSDARG00000089947,TF,zf-C2H2
ENSDARG00000005846,TF,zf-C2H2
ENSDARG00000092346,TF,TF_bZIP
ENSDARG00000022905,TF,zf-C2H2
ENSDARG00000100001,TF,zf-C2H2
ENSDARG00000114287,TF,ESR-like
ENSDARG00000115477,TF,zf-C2H2
ENSDARG00000103980,TF,ETS
ENSDARG00000099618,TF,zf-C2H2
ENSDARG00000090740,TF,zf-C2H2
ENSDARG00000068417,TF,Fork_head
ENSDARG00000075330,TF,Homeobox
ENSDARG00000056995,TF,zf-C2H2
ENSDARG00000016858,TF,MH1
ENSDARG00000040926,TF,RXR-like
ENSDARG00000037782,TF,HMG
ENSDARG00000112571,TF,ZBTB
ENSDARG00000099345,TF,HTH
ENSDARG00000112663,TF,Homeobox
ENSDARG00000054879,TF,Homeobox
ENSDARG00000117064,TF,ETS
ENSDARG00000052115,TF,ETS
ENSDARG00000063563,TF,TF_bZIP
ENSDARG00000025226,TF,zf-C2H2
ENSDARG00000022295,TF,Homeobox
ENSDARG00000006288,TF,zf-C2H2
ENSDARG00000110548,TF,zf-C2H2
ENSDARG00000104144,TF,SAND
ENSDARG00000093999,TF,MYB
ENSDARG00000057652,TF,TF_bZIP
ENSDARG00000029766,TF,THR-like
ENSDARG00000068407,TF,Homeobox
ENSDARG00000062801,TF,ETS
ENSDARG00000056226,TF,TF_bZIP
ENSDARG00000110381,TF,RHD
ENSDARG00000097152,TF,zf-C2H2
ENSDARG00000013251,TF,HSF
ENSDARG00000031337,TF,Homeobox
ENSDARG00000070059,TF,THAP
ENSDARG00000098231,TF,Homeobox
ENSDARG00000024598,TF,Homeobox
ENSDARG00000100761,TF,zf-C2H2
ENSDARG00000113011,TF,zf-C2H2
ENSDARG00000100947,TF,TF_bZIP
ENSDARG00000036254,TF,Homeobox
ENSDARG00000110150,TF,zf-C2H2
ENSDARG00000116625,TF,zf-C2H2
ENSDARG00000017078,TF,bHLH
ENSDARG00000017007,TF,NGFIB-like
ENSDARG00000089107,TF,bHLH
ENSDARG00000038812,TF,E2F
ENSDARG00000103477,TF,zf-C2H2
ENSDARG00000022569,TF,Homeobox
ENSDARG00000035116,TF,zf-C2H2
ENSDARG00000020176,TF,ZBTB
ENSDARG00000063672,TF,Tub
ENSDARG00000054957,TF,zf-C2H2
ENSDARG00000015793,TF,TF_bZIP
ENSDARG00000074502,TF,zf-MIZ
ENSDARG00000087195,TF,THR-like
ENSDARG00000109549,TF,zf-C2H2
ENSDARG00000070809,TF,zf-C2H2
ENSDARG00000098362,TF,zf-C2H2
ENSDARG00000099945,TF,zf-C2H2
ENSDARG00000031434,TF,MYB
ENSDARG00000110745,TF,zf-C2H2
ENSDARG00000092809,TF,Homeobox
ENSDARG00000042563,TF,MYB
ENSDARG00000003293,TF,HMG
ENSDARG00000038386,TF,bHLH
ENSDARG00000102839,TF,THAP
ENSDARG00000029722,TF,HMG
ENSDARG00000014775,TF,zf-C2H2
ENSDARG00000077467,TF,HMG
ENSDARG00000111842,TF,HMG
ENSDARG00000104807,TF,zf-C2H2
ENSDARG00000004757,TF,CSD
ENSDARG00000043322,TF,Homeobox
ENSDARG00000045660,TF,ZBTB
ENSDARG00000004588,TF,HMG
ENSDARG00000008886,TF,Homeobox
ENSDARG00000102279,TF,zf-MIZ
ENSDARG00000038205,TF,bHLH
ENSDARG00000002006,TF,RXR-like
ENSDARG00000095350,TF,zf-C2H2
ENSDARG00000029544,TF,bHLH
ENSDARG00000102959,TF,zf-C2H2
ENSDARG00000095617,TF,zf-C2H2
ENSDARG00000094309,TF,zf-C2H2
ENSDARG00000115148,TF,P53
ENSDARG00000110106,TF,zf-C2H2
ENSDARG00000006003,TF,bHLH
ENSDARG00000031161,TF,THR-like
ENSDARG00000097808,TF,zf-C2H2
ENSDARG00000117163,TF,zf-C2H2
ENSDARG00000114324,TF,TSC22
ENSDARG00000112043,TF,zf-C2H2
ENSDARG00000115109,TF,Pou
ENSDARG00000101891,TF,ARID
ENSDARG00000037475,TF,Fork_head
ENSDARG00000013125,TF,Homeobox
ENSDARG00000109202,TF,zf-C2H2
ENSDARG00000113490,TF,Homeobox
ENSDARG00000098745,TF,bHLH
ENSDARG00000109532,TF,TF_bZIP
ENSDARG00000017615,TF,Homeobox
ENSDARG00000098196,TF,zf-C2H2
ENSDARG00000062268,TF,ARID
ENSDARG00000070845,TF,THAP
ENSDARG00000105781,TF,zf-C2H2
ENSDARG00000079222,TF,zf-C2H2
ENSDARG00000101508,TF,GCNF-like
ENSDARG00000097863,TF,zf-C2H2
ENSDARG00000000796,TF,NGFIB-like
ENSDARG00000115513,TF,ESR-like
ENSDARG00000101926,TF,zf-C2H2
ENSDARG00000037178,TF,zf-C2H2
ENSDARG00000056015,TF,Homeobox
ENSDARG00000100197,TF,zf-C2H2
ENSDARG00000062361,TF,GCFC
ENSDARG00000035732,TF,bHLH
ENSDARG00000092327,TF,zf-C2H2
ENSDARG00000117079,TF,RXR-like
ENSDARG00000115230,TF,Homeobox
ENSDARG00000088507,TF,zf-C2H2
ENSDARG00000070939,TF,zf-C2H2
ENSDARG00000115593,TF,zf-C2H2
ENSDARG00000006939,TF,T-box
ENSDARG00000070353,TF,Homeobox
ENSDARG00000045681,TF,IRF
ENSDARG00000000018,TF,Nrf1
ENSDARG00000098604,TF,zf-C2H2
ENSDARG00000114642,TF,Homeobox
ENSDARG00000005453,TF,Fork_head
ENSDARG00000115737,TF,zf-C2H2
ENSDARG00000098281,TF,zf-C2H2
ENSDARG00000070348,TF,Homeobox
ENSDARG00000076120,TF,Fork_head
ENSDARG00000096210,TF,zf-C2H2
ENSDARG00000016454,TF,ESR-like
ENSDARG00000090769,TF,zf-C2H2
ENSDARG00000017121,TF,TF_bZIP
ENSDARG00000109211,TF,zf-C2H2
ENSDARG00000113373,TF,Fork_head
ENSDARG00000061509,TF,T-box
ENSDARG00000037964,TF,Homeobox
ENSDARG00000087074,TF,zf-C2H2
ENSDARG00000094443,TF,zf-C2H2
ENSDARG00000112408,TF,zf-C2H2
ENSDARG00000094343,TF,zf-C2H2
ENSDARG00000090721,TF,zf-C2H2
ENSDARG00000057649,TF,CUT
ENSDARG00000113160,TF,DM
ENSDARG00000003251,TF,ZBTB
ENSDARG00000088123,TF,zf-C2H2
ENSDARG00000062420,TF,CTF/NFI
ENSDARG00000098389,TF,zf-C2H2
ENSDARG00000102581,TF,zf-C2H2
ENSDARG00000092027,TF,zf-C2H2
ENSDARG00000017107,TF,RXR-like
ENSDARG00000109690,TF,bHLH
ENSDARG00000111583,TF,zf-LITAF-like
ENSDARG00000115937,TF,Homeobox
ENSDARG00000078676,TF,NDT80/PhoG
ENSDARG00000099002,TF,TF_bZIP
ENSDARG00000036816,TF,Pou
ENSDARG00000070954,TF,Homeobox
ENSDARG00000018025,TF,T-box
ENSDARG00000012435,TF,ETS
ENSDARG00000069989,TF,zf-C2H2
ENSDARG00000006514,TF,bHLH
ENSDARG00000033971,TF,Homeobox
ENSDARG00000057231,TF,THR-like
ENSDARG00000087544,TF,zf-C2H2
ENSDARG00000059370,TF,THR-like
ENSDARG00000053800,TF,zf-C2H2
ENSDARG00000111379,TF,Homeobox
ENSDARG00000023903,TF,TF_bZIP
ENSDARG00000104773,TF,TF_bZIP
ENSDARG00000038306,TF,TSC22
ENSDARG00000036542,TF,Homeobox
ENSDARG00000098811,TF,zf-C2H2
ENSDARG00000114542,TF,TF_bZIP
ENSDARG00000020872,TF,RHD
ENSDARG00000053129,TF,CSD
ENSDARG00000061836,TF,CTF/NFI
ENSDARG00000007184,TF,ZBTB
ENSDARG00000114172,TF,zf-C2H2
ENSDARG00000025891,TF,Homeobox
ENSDARG00000100940,TF,SF-like
ENSDARG00000110204,TF,Homeobox
ENSDARG00000116242,TF,zf-C2H2
ENSDARG00000052618,TF,bHLH
ENSDARG00000011696,TF,ESR-like
ENSDARG00000014480,TF,GCNF-like
ENSDARG00000008906,TF,zf-C2H2
ENSDARG00000011818,TF,TF_bZIP
ENSDARG00000011785,TF,T-box
ENSDARG00000068976,TF,Homeobox
ENSDARG00000053263,TF,zf-C2H2
ENSDARG00000113351,TF,zf-C2H2
ENSDARG00000020417,TF,Homeobox
ENSDARG00000014321,TF,Homeobox
ENSDARG00000035290,TF,DM
ENSDARG00000063153,TF,zf-C2H2
ENSDARG00000013533,TF,Homeobox
ENSDARG00000033160,TF,THR-like
ENSDARG00000101756,TF,zf-C2H2
ENSDARG00000070107,TF,Homeobox
ENSDARG00000031664,TF,HMG
ENSDARG00000025032,TF,ESR-like
ENSDARG00000098439,TF,THR-like
ENSDARG00000057859,TF,Homeobox
ENSDARG00000008247,TF,zf-C2H2
ENSDARG00000035066,TF,HMG
ENSDARG00000116819,TF,zf-CCCH
ENSDARG00000091025,TF,zf-C2H2
ENSDARG00000112145,TF,zf-C2H2
ENSDARG00000000966,TF,MYB
ENSDARG00000102884,TF,zf-C2H2
ENSDARG00000097134,TF,zf-C2H2
ENSDARG00000040237,TF,SRF
ENSDARG00000035680,TF,Fork_head
ENSDARG00000071469,TF,zf-C2H2
ENSDARG00000092605,TF,zf-C2H2
ENSDARG00000075417,TF,zf-C2H2
ENSDARG00000110433,TF,zf-C2H2
ENSDARG00000110991,TF,zf-C2H2
ENSDARG00000076512,TF,ETS
ENSDARG00000101223,TF,zf-C2H2
ENSDARG00000021032,TF,Fork_head
ENSDARG00000043923,TF,HMG
ENSDARG00000019774,TF,Homeobox
ENSDARG00000091869,TF,zf-C2H2
ENSDARG00000030347,TF,bHLH
ENSDARG00000102033,TF,zf-C2H2
ENSDARG00000112811,TF,zf-C2H2
ENSDARG00000058342,TF,CP2
ENSDARG00000098424,TF,zf-C2H2
ENSDARG00000015902,TF,STAT
ENSDARG00000062165,TF,Tub
ENSDARG00000026599,TF,Homeobox
ENSDARG00000114437,TF,zf-C2H2
ENSDARG00000077946,TF,MYB
ENSDARG00000116861,TF,RFX
ENSDARG00000095135,TF,zf-C2H2
ENSDARG00000052511,TF,CSD
ENSDARG00000113129,TF,MYB
ENSDARG00000098991,TF,zf-C2H2
ENSDARG00000098142,TF,zf-C2H2
ENSDARG00000104888,TF,zf-C2H2
ENSDARG00000101628,TF,bHLH
ENSDARG00000096828,TF,zf-C2H2
ENSDARG00000099743,TF,THAP
ENSDARG00000113174,TF,Homeobox
ENSDARG00000109251,TF,zf-C2H2
ENSDARG00000053650,TF,Fork_head
ENSDARG00000111589,TF,E2F
ENSDARG00000099427,TF,Homeobox
ENSDARG00000027933,TF,zf-C2H2
ENSDARG00000061030,TF,zf-C2H2
ENSDARG00000099917,TF,zf-C2H2
ENSDARG00000116922,TF,CG-1
ENSDARG00000031307,TF,zf-C2H2
ENSDARG00000104041,TF,zf-C2H2
ENSDARG00000111395,TF,ZBTB
ENSDARG00000094426,TF,bHLH
ENSDARG00000104208,TF,zf-C2H2
ENSDARG00000079964,TF,Homeobox
ENSDARG00000092160,TF,bHLH
ENSDARG00000103405,TF,zf-C2H2
ENSDARG00000102631,TF,Homeobox
ENSDARG00000021163,TF,THR-like
ENSDARG00000059263,TF,Homeobox
ENSDARG00000102154,TF,zf-C2H2
ENSDARG00000089032,TF,zf-C2H2
ENSDARG00000114487,TF,ZBTB
ENSDARG00000077431,TF,bHLH
ENSDARG00000097086,TF,zf-C2H2
ENSDARG00000104858,TF,zf-C2H2
ENSDARG00000029764,TF,SRF
ENSDARG00000035887,TF,Homeobox
ENSDARG00000019293,TF,E2F
ENSDARG00000061810,TF,MBD
ENSDARG00000105301,TF,HMG
ENSDARG00000104485,TF,zf-C2H2
ENSDARG00000105295,TF,zf-C2H2
ENSDARG00000073915,TF,zf-C2H2
ENSDARG00000059267,TF,Homeobox
ENSDARG00000008119,TF,E2F
ENSDARG00000080016,TF,zf-C2H2
ENSDARG00000103441,TF,zf-C2H2
ENSDARG00000112354,TF,zf-C2H2
ENSDARG00000096575,TF,zf-C2H2
ENSDARG00000055106,TF,zf-C2H2
ENSDARG00000055398,TF,Fork_head
ENSDARG00000007241,TF,bHLH
ENSDARG00000116023,TF,zf-C2H2
ENSDARG00000009550,TF,Fork_head
ENSDARG00000069726,TF,zf-C2H2
ENSDARG00000069196,TF,COE
ENSDARG00000101946,TF,zf-C2H2
ENSDARG00000078266,TF,bHLH
ENSDARG00000044301,TF,TF_bZIP
ENSDARG00000029830,TF,bHLH
ENSDARG00000015064,TF,Miscellaneous
ENSDARG00000055588,TF,STAT
ENSDARG00000061774,TF,MBD
ENSDARG00000007413,TF,ARID
ENSDARG00000112821,TF,RHD
ENSDARG00000073857,TF,zf-C2H2
ENSDARG00000089368,TF,Homeobox
ENSDARG00000028148,TF,PAX
ENSDARG00000101106,TF,zf-C2H2
ENSDARG00000008540,TF,HMG
ENSDARG00000099048,TF,zf-C2H2
ENSDARG00000005586,TF,ZBTB
ENSDARG00000113441,TF,zf-C2H2
ENSDARG00000100478,TF,Tub
ENSDARG00000115564,TF,zf-C2H2
ENSDARG00000059276,TF,Homeobox
ENSDARG00000105261,TF,RHD
ENSDARG00000112252,TF,SAND
ENSDARG00000056541,TF,Miscellaneous
ENSDARG00000088820,TF,zf-C2H2
ENSDARG00000062338,TF,zf-C2H2
ENSDARG00000105019,TF,zf-C2H2
ENSDARG00000086449,TF,zf-C2H2
ENSDARG00000059020,TF,THAP
ENSDARG00000036073,TF,TF_bZIP
ENSDARG00000044685,TF,Miscellaneous
ENSDARG00000053209,TF,MH1
